model,seed,hidden,vocab,train_str_len,eval_str_len,steps,batch_size,lr,params,train_acc_last,eval_loss,eval_acc,seconds_train,seconds_eval,run
dabsn_hybrid,2,48,64,64,128,1000,48,0.01,21739,1.0,0.000601733984422026,0.99990234375,20.923266172409058,0.04748201370239258,dabsn_thesis_20260630_012013_copy_length_ood
dabsn_hybrid,2,48,64,64,256,1000,48,0.01,21739,1.0,0.0006269209654419683,0.999755859375,20.923266172409058,0.06192159652709961,dabsn_thesis_20260630_012013_copy_length_ood
dabsn_hybrid,2,48,64,64,512,1000,48,0.01,21739,1.0,0.0014304045122116803,0.9994384765625,20.923266172409058,0.21429228782653809,dabsn_thesis_20260630_012013_copy_length_ood
dabsn_hybrid,2,48,64,64,1024,1000,48,0.01,21739,1.0,0.004287503473460674,0.99873046875,20.923266172409058,0.8290009498596191,dabsn_thesis_20260630_012013_copy_length_ood
dabsn_hybrid,2,48,64,64,2048,1000,48,0.01,21739,1.0,0.02244112193584442,0.993548583984375,20.923266172409058,3.489692211151123,dabsn_thesis_20260630_012013_copy_length_ood
dabsn_hybrid,2,48,64,64,3200,1000,48,0.01,21739,1.0,0.062274054437875745,0.9822851538658142,20.923266172409058,8.455477237701416,dabsn_thesis_20260630_012013_copy_length_ood
gru,0,48,64,64,64,1000,48,0.001,19696,0.013346354477107525,4.1593578338623045,0.01425781287252903,2.5934078693389893,0.004349946975708008,dabsn_thesis_20260630_012013_copy_length_ood
gru,0,48,64,64,128,1000,48,0.001,19696,0.013346354477107525,4.159037494659424,0.01533203125,2.5934078693389893,0.0045795440673828125,dabsn_thesis_20260630_012013_copy_length_ood
gru,0,48,64,64,256,1000,48,0.001,19696,0.013346354477107525,4.159105968475342,0.017041015625,2.5934078693389893,0.00490880012512207,dabsn_thesis_20260630_012013_copy_length_ood
gru,0,48,64,64,512,1000,48,0.001,19696,0.013346354477107525,4.159227466583252,0.0155029296875,2.5934078693389893,0.006882905960083008,dabsn_thesis_20260630_012013_copy_length_ood
gru,0,48,64,64,1024,1000,48,0.001,19696,0.013346354477107525,4.159298706054687,0.015771484375,2.5934078693389893,0.010851144790649414,dabsn_thesis_20260630_012013_copy_length_ood
gru,0,48,64,64,2048,1000,48,0.001,19696,0.013346354477107525,4.159273910522461,0.015576171875,2.5934078693389893,0.020340919494628906,dabsn_thesis_20260630_012013_copy_length_ood
gru,0,48,64,64,3200,1000,48,0.001,19696,0.013346354477107525,4.1591691970825195,0.015824218466877937,2.5934078693389893,0.029385805130004883,dabsn_thesis_20260630_012013_copy_length_ood
gru,1,48,64,64,64,1000,48,0.001,19696,0.01627604104578495,4.158850574493409,0.017057291604578494,2.5968830585479736,0.004643440246582031,dabsn_thesis_20260630_012013_copy_length_ood
gru,1,48,64,64,128,1000,48,0.001,19696,0.01627604104578495,4.15883207321167,0.01731770858168602,2.5968830585479736,0.004231691360473633,dabsn_thesis_20260630_012013_copy_length_ood
gru,1,48,64,64,256,1000,48,0.001,19696,0.01627604104578495,4.1590879440307615,0.01484375,2.5968830585479736,0.004724025726318359,dabsn_thesis_20260630_012013_copy_length_ood
gru,1,48,64,64,512,1000,48,0.001,19696,0.01627604104578495,4.159096431732178,0.0150390625,2.5968830585479736,0.006780147552490234,dabsn_thesis_20260630_012013_copy_length_ood
gru,1,48,64,64,1024,1000,48,0.001,19696,0.01627604104578495,4.158967399597168,0.01572265625,2.5968830585479736,0.010772705078125,dabsn_thesis_20260630_012013_copy_length_ood
gru,1,48,64,64,2048,1000,48,0.001,19696,0.01627604104578495,4.159084129333496,0.015594482421875,2.5968830585479736,0.020203590393066406,dabsn_thesis_20260630_012013_copy_length_ood
gru,1,48,64,64,3200,1000,48,0.001,19696,0.01627604104578495,4.159121894836426,0.015675781294703484,2.5968830585479736,0.029933929443359375,dabsn_thesis_20260630_012013_copy_length_ood
gru,2,48,64,64,64,1000,48,0.001,19696,0.0146484375,4.159164142608643,0.01438802070915699,2.5880353450775146,0.004599571228027344,dabsn_thesis_20260630_012013_copy_length_ood
gru,2,48,64,64,128,1000,48,0.001,19696,0.0146484375,4.159124565124512,0.01611328125,2.5880353450775146,0.004252910614013672,dabsn_thesis_20260630_012013_copy_length_ood
gru,2,48,64,64,256,1000,48,0.001,19696,0.0146484375,4.159025382995606,0.01630859375,2.5880353450775146,0.004760265350341797,dabsn_thesis_20260630_012013_copy_length_ood
gru,2,48,64,64,512,1000,48,0.001,19696,0.0146484375,4.159166049957276,0.0149169921875,2.5880353450775146,0.0068814754486083984,dabsn_thesis_20260630_012013_copy_length_ood
gru,2,48,64,64,1024,1000,48,0.001,19696,0.0146484375,4.1590883255004885,0.01585693359375,2.5880353450775146,0.010709047317504883,dabsn_thesis_20260630_012013_copy_length_ood
gru,2,48,64,64,2048,1000,48,0.001,19696,0.0146484375,4.159030151367188,0.01591796875,2.5880353450775146,0.01997518539428711,dabsn_thesis_20260630_012013_copy_length_ood
gru,2,48,64,64,3200,1000,48,0.001,19696,0.0146484375,4.1591315269470215,0.0154296875,2.5880353450775146,0.029706716537475586,dabsn_thesis_20260630_012013_copy_length_ood
lstm,0,48,64,64,64,1000,48,0.001,25216,0.014322916977107525,4.159248542785645,0.014778645895421504,2.65737247467041,0.004671335220336914,dabsn_thesis_20260630_012013_copy_length_ood
lstm,0,48,64,64,128,1000,48,0.001,25216,0.014322916977107525,4.158937168121338,0.015266926772892476,2.65737247467041,0.004374027252197266,dabsn_thesis_20260630_012013_copy_length_ood
lstm,0,48,64,64,256,1000,48,0.001,25216,0.014322916977107525,4.159006404876709,0.01572265625,2.65737247467041,0.005357027053833008,dabsn_thesis_20260630_012013_copy_length_ood
lstm,0,48,64,64,512,1000,48,0.001,25216,0.014322916977107525,4.1590375900268555,0.015625,2.65737247467041,0.007791280746459961,dabsn_thesis_20260630_012013_copy_length_ood
lstm,0,48,64,64,1024,1000,48,0.001,25216,0.014322916977107525,4.159203243255615,0.015576171875,2.65737247467041,0.013147354125976562,dabsn_thesis_20260630_012013_copy_length_ood
lstm,0,48,64,64,2048,1000,48,0.001,25216,0.014322916977107525,4.15913143157959,0.015423583984375,2.65737247467041,0.024130821228027344,dabsn_thesis_20260630_012013_copy_length_ood
lstm,0,48,64,64,3200,1000,48,0.001,25216,0.014322916977107525,4.1590348243713375,0.01588281262665987,2.65737247467041,0.0361638069152832,dabsn_thesis_20260630_012013_copy_length_ood
lstm,1,48,64,64,64,1000,48,0.001,25216,0.013020833022892475,4.158823680877686,0.01783854179084301,2.6779985427856445,0.004735469818115234,dabsn_thesis_20260630_012013_copy_length_ood
lstm,1,48,64,64,128,1000,48,0.001,25216,0.013020833022892475,4.158871841430664,0.01598307304084301,2.6779985427856445,0.004343271255493164,dabsn_thesis_20260630_012013_copy_length_ood
lstm,1,48,64,64,256,1000,48,0.001,25216,0.013020833022892475,4.159073257446289,0.015966796875,2.6779985427856445,0.00540924072265625,dabsn_thesis_20260630_012013_copy_length_ood
lstm,1,48,64,64,512,1000,48,0.001,25216,0.013020833022892475,4.159061145782471,0.014697265625,2.6779985427856445,0.007884740829467773,dabsn_thesis_20260630_012013_copy_length_ood
lstm,1,48,64,64,1024,1000,48,0.001,25216,0.013020833022892475,4.1588616371154785,0.0158203125,2.6779985427856445,0.013103008270263672,dabsn_thesis_20260630_012013_copy_length_ood
