model,seed,hidden,train_seq_len,eval_seq_len,steps,batch_size,n_keys,n_values,n_pairs,lr,params,train_loss_last,eval_loss,eval_acc,seconds_train,seconds_eval,run
gru,1,48,64,3200,1000,64,16,16,8,0.001,13024,2.3466622829437256,3.2713257551193236,0.064453125,62.63597655296326,15.843411684036255,dabsn_thesis_20260630_012013_mqar_length_ood
gru,2,48,64,64,1000,64,16,16,8,0.001,13024,2.314842462539673,2.302442479133606,0.22578125,62.28738832473755,0.5985062122344971,dabsn_thesis_20260630_012013_mqar_length_ood
gru,2,48,64,128,1000,64,16,16,8,0.001,13024,2.314842462539673,2.3394107580184937,0.216796875,62.28738832473755,0.9033331871032715,dabsn_thesis_20260630_012013_mqar_length_ood
gru,2,48,64,256,1000,64,16,16,8,0.001,13024,2.314842462539673,2.493051362037659,0.1794921875,62.28738832473755,1.5179355144500732,dabsn_thesis_20260630_012013_mqar_length_ood
gru,2,48,64,512,1000,64,16,16,8,0.001,13024,2.314842462539673,2.8196484565734865,0.12109375,62.28738832473755,2.7811830043792725,dabsn_thesis_20260630_012013_mqar_length_ood
gru,2,48,64,1024,1000,64,16,16,8,0.001,13024,2.314842462539673,3.0923977851867677,0.0802734375,62.28738832473755,5.2588605880737305,dabsn_thesis_20260630_012013_mqar_length_ood
gru,2,48,64,2000,1000,64,16,16,8,0.001,13024,2.314842462539673,3.22232186794281,0.069140625,62.28738832473755,10.025821924209595,dabsn_thesis_20260630_012013_mqar_length_ood
gru,2,48,64,3200,1000,64,16,16,8,0.001,13024,2.314842462539673,3.2887574434280396,0.0658203125,62.28738832473755,15.72999882698059,dabsn_thesis_20260630_012013_mqar_length_ood
lstm,0,48,64,64,1000,64,16,16,8,0.001,17104,2.6379964351654053,2.6023988723754883,0.1423828125,62.86994910240173,0.6197381019592285,dabsn_thesis_20260630_012013_mqar_length_ood
lstm,0,48,64,128,1000,64,16,16,8,0.001,17104,2.6379964351654053,2.645169401168823,0.121875,62.86994910240173,0.9253027439117432,dabsn_thesis_20260630_012013_mqar_length_ood
lstm,0,48,64,256,1000,64,16,16,8,0.001,17104,2.6379964351654053,2.7379446029663086,0.106640625,62.86994910240173,1.536168098449707,dabsn_thesis_20260630_012013_mqar_length_ood
lstm,0,48,64,512,1000,64,16,16,8,0.001,17104,2.6379964351654053,2.882748556137085,0.0943359375,62.86994910240173,2.7777814865112305,dabsn_thesis_20260630_012013_mqar_length_ood
lstm,0,48,64,1024,1000,64,16,16,8,0.001,17104,2.6379964351654053,3.0606489419937133,0.073046875,62.86994910240173,5.2521889209747314,dabsn_thesis_20260630_012013_mqar_length_ood
lstm,0,48,64,2000,1000,64,16,16,8,0.001,17104,2.6379964351654053,3.175463891029358,0.0638671875,62.86994910240173,10.08310055732727,dabsn_thesis_20260630_012013_mqar_length_ood
lstm,0,48,64,3200,1000,64,16,16,8,0.001,17104,2.6379964351654053,3.2196218729019166,0.0666015625,62.86994910240173,15.735957145690918,dabsn_thesis_20260630_012013_mqar_length_ood
lstm,1,48,64,64,1000,64,16,16,8,0.001,17104,2.602755546569824,2.592922019958496,0.144921875,62.60086369514465,0.6115169525146484,dabsn_thesis_20260630_012013_mqar_length_ood
lstm,1,48,64,128,1000,64,16,16,8,0.001,17104,2.602755546569824,2.623719310760498,0.12578125,62.60086369514465,0.9188084602355957,dabsn_thesis_20260630_012013_mqar_length_ood
lstm,1,48,64,256,1000,64,16,16,8,0.001,17104,2.602755546569824,2.719322085380554,0.0935546875,62.60086369514465,1.5268754959106445,dabsn_thesis_20260630_012013_mqar_length_ood
lstm,1,48,64,512,1000,64,16,16,8,0.001,17104,2.602755546569824,2.8402472019195555,0.0873046875,62.60086369514465,2.7730112075805664,dabsn_thesis_20260630_012013_mqar_length_ood
lstm,1,48,64,1024,1000,64,16,16,8,0.001,17104,2.602755546569824,2.9366390705108643,0.0736328125,62.60086369514465,5.246467351913452,dabsn_thesis_20260630_012013_mqar_length_ood
lstm,1,48,64,2000,1000,64,16,16,8,0.001,17104,2.602755546569824,2.958935356140137,0.0671875,62.60086369514465,10.13250732421875,dabsn_thesis_20260630_012013_mqar_length_ood
lstm,1,48,64,3200,1000,64,16,16,8,0.001,17104,2.602755546569824,2.9512549877166747,0.0658203125,62.60086369514465,15.781154870986938,dabsn_thesis_20260630_012013_mqar_length_ood
lstm,2,48,64,64,1000,64,16,16,8,0.001,17104,2.600801467895508,2.5738766193389893,0.1453125,62.44341015815735,0.5908973217010498,dabsn_thesis_20260630_012013_mqar_length_ood
lstm,2,48,64,128,1000,64,16,16,8,0.001,17104,2.600801467895508,2.5898890018463137,0.146484375,62.44341015815735,0.9018154144287109,dabsn_thesis_20260630_012013_mqar_length_ood
lstm,2,48,64,256,1000,64,16,16,8,0.001,17104,2.600801467895508,2.6555139064788817,0.12265625,62.44341015815735,1.5121874809265137,dabsn_thesis_20260630_012013_mqar_length_ood
lstm,2,48,64,512,1000,64,16,16,8,0.001,17104,2.600801467895508,2.7172178506851195,0.108203125,62.44341015815735,2.7606165409088135,dabsn_thesis_20260630_012013_mqar_length_ood
lstm,2,48,64,1024,1000,64,16,16,8,0.001,17104,2.600801467895508,2.758120584487915,0.0818359375,62.44341015815735,5.229995489120483,dabsn_thesis_20260630_012013_mqar_length_ood
lstm,2,48,64,2000,1000,64,16,16,8,0.001,17104,2.600801467895508,2.7764997720718383,0.06796875,62.44341015815735,9.983838319778442,dabsn_thesis_20260630_012013_mqar_length_ood
lstm,2,48,64,3200,1000,64,16,16,8,0.001,17104,2.600801467895508,2.777859354019165,0.0640625,62.44341015815735,15.73232102394104,dabsn_thesis_20260630_012013_mqar_length_ood
transformer,0,48,64,64,1000,64,16,16,8,0.001,30784,0.00018165285291615874,0.0001499789628724102,1.0,64.05531644821167,0.6229877471923828,dabsn_thesis_20260630_012013_mqar_length_ood
transformer,0,48,64,128,1000,64,16,16,8,0.001,30784,0.00018165285291615874,3.822229242324829,0.3888671875,64.05531644821167,0.9172122478485107,dabsn_thesis_20260630_012013_mqar_length_ood
transformer,0,48,64,256,1000,64,16,16,8,0.001,30784,0.00018165285291615874,7.497047567367554,0.0951171875,64.05531644821167,1.5479686260223389,dabsn_thesis_20260630_012013_mqar_length_ood
transformer,0,48,64,512,1000,64,16,16,8,0.001,30784,0.00018165285291615874,7.6151642322540285,0.073828125,64.05531644821167,2.811720132827759,dabsn_thesis_20260630_012013_mqar_length_ood
transformer,0,48,64,1024,1000,64,16,16,8,0.001,30784,0.00018165285291615874,8.457297801971436,0.064453125,64.05531644821167,5.2722272872924805,dabsn_thesis_20260630_012013_mqar_length_ood
transformer,0,48,64,2000,1000,64,16,16,8,0.001,30784,0.00018165285291615874,7.653655910491944,0.0634765625,64.05531644821167,10.17006778717041,dabsn_thesis_20260630_012013_mqar_length_ood
transformer,0,48,64,3200,1000,64,16,16,8,0.001,30784,0.00018165285291615874,6.363110303878784,0.06796875,64.05531644821167,16.050246238708496,dabsn_thesis_20260630_012013_mqar_length_ood
transformer,1,48,64,64,1000,64,16,16,8,0.001,30784,0.00012704753316938877,0.00017609877832001076,1.0,64.04034185409546,0.612476110458374,dabsn_thesis_20260630_012013_mqar_length_ood
transformer,1,48,64,128,1000,64,16,16,8,0.001,30784,0.00012704753316938877,6.74471378326416,0.261328125,64.04034185409546,0.9139735698699951,dabsn_thesis_20260630_012013_mqar_length_ood
transformer,1,48,64,256,1000,64,16,16,8,0.001,30784,0.00012704753316938877,9.95183506011963,0.0638671875,64.04034185409546,1.5422828197479248,dabsn_thesis_20260630_012013_mqar_length_ood
transformer,1,48,64,512,1000,64,16,16,8,0.001,30784,0.00012704753316938877,7.002797269821167,0.068359375,64.04034185409546,2.7807459831237793,dabsn_thesis_20260630_012013_mqar_length_ood
transformer,1,48,64,1024,1000,64,16,16,8,0.001,30784,0.00012704753316938877,8.85374412536621,0.0634765625,64.04034185409546,5.287743330001831,dabsn_thesis_20260630_012013_mqar_length_ood
transformer,1,48,64,2000,1000,64,16,16,8,0.001,30784,0.00012704753316938877,7.619031858444214,0.0671875,64.04034185409546,10.147457838058472,dabsn_thesis_20260630_012013_mqar_length_ood
transformer,1,48,64,3200,1000,64,16,16,8,0.001,30784,0.00012704753316938877,5.945746755599975,0.058984375,64.04034185409546,16.228219270706177,dabsn_thesis_20260630_012013_mqar_length_ood
transformer,2,48,64,64,1000,64,16,16,8,0.001,30784,0.0002076494856737554,0.0002574231184553355,1.0,63.8090922832489,0.6004652976989746,dabsn_thesis_20260630_012013_mqar_length_ood
transformer,2,48,64,128,1000,64,16,16,8,0.001,30784,0.0002076494856737554,5.109169816970825,0.3548828125,63.8090922832489,0.9100186824798584,dabsn_thesis_20260630_012013_mqar_length_ood
transformer,2,48,64,256,1000,64,16,16,8,0.001,30784,0.0002076494856737554,5.867973279953003,0.1177734375,63.8090922832489,1.5290992259979248,dabsn_thesis_20260630_012013_mqar_length_ood
transformer,2,48,64,512,1000,64,16,16,8,0.001,30784,0.0002076494856737554,6.599241542816162,0.0951171875,63.8090922832489,2.7698512077331543,dabsn_thesis_20260630_012013_mqar_length_ood
transformer,2,48,64,1024,1000,64,16,16,8,0.001,30784,0.0002076494856737554,6.152048063278198,0.0705078125,63.8090922832489,5.2583842277526855,dabsn_thesis_20260630_012013_mqar_length_ood
transformer,2,48,64,2000,1000,64,16,16,8,0.001,30784,0.0002076494856737554,6.64795069694519,0.0703125,63.8090922832489,10.105754137039185,dabsn_thesis_20260630_012013_mqar_length_ood
